,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
0,slate-CS-C,UU,full,2.567291259765625,-0.7836456298828125,0.003814697265625,0.4980926513671875,1.9830943690076417,-0.5688146742157546
1,slate-CS-C,UU,polarized,2.574920654296875,-0.7874603271484375,0.446319580078125,0.2768402099609375,1.932430265877284,-0.5288632810867901
2,slate-CS-C,UX,full,0.797271728515625,0.1013641357421875,-8.762359619140625,4.8811798095703125,0.817243717655457,-0.18138729092649375
3,slate-CS-C,UX,polarized,0.789642333984375,0.1051788330078125,-7.846832275390625,4.4234161376953125,0.7791157634534605,-0.16305788172673027
4,slate-CS-C,XX-same,full,0.652313232421875,0.1738433837890625,-8.892059326171875,4.9460296630859375,0.5567508638730718,-0.06553592576369623
5,slate-CS-C,XX-same,polarized,0.682830810546875,0.1585845947265625,-7.846832275390625,4.4234161376953125,0.5784517261181216,-0.06296660379980161
6,slate-CS-C,XX-dif,full,0.682830810546875,0.1585845947265625,-6.534576416015625,3.7672882080078125,0.6954909881410106,-0.06837923892647212
7,slate-CS-C,XX-dif,polarized,0.705718994140625,0.1471405029296875,-5.146026611328125,3.0730133056640625,0.7080177115489444,-0.07169404095965737
8,slate-CS-W,UU,full,7.663726806640625,-3.3318634033203125,1.377105712890625,-0.1885528564453125,1.9847179636929966,-0.4158486937806543
9,slate-CS-W,UU,polarized,6.900787353515625,-2.9503936767578125,1.369476318359375,-0.1847381591796875,1.934025354682804,-0.40553119585992053
10,slate-CS-W,UX,full,2.307891845703125,-0.6539459228515625,-4.169464111328125,2.5847320556640625,1.5839587287681907,-0.37120570183265467
11,slate-CS-W,UX,polarized,1.949310302734375,-0.4746551513671875,-2.979278564453125,1.9896392822265625,1.557482954528892,-0.35835258837555706
12,slate-CS-W,XX-same,full,1.651763916015625,-0.3258819580078125,-5.687713623046875,3.3438568115234375,1.3676475073408936,-0.3256756055222984
13,slate-CS-W,XX-same,polarized,1.651763916015625,-0.3258819580078125,-4.703521728515625,2.8517608642578125,1.3642101949261483,-0.29121620857418534
14,slate-CS-W,XX-dif,full,1.667022705078125,-0.3335113525390625,-4.444122314453125,2.7220611572265625,1.3328154961794918,-0.25912379747246156
15,slate-CS-W,XX-dif,polarized,1.674652099609375,-0.3373260498046875,-3.765106201171875,2.3825531005859375,1.3481053947932244,-0.24129343813735288
16,slate-BT,UU,full,4.077911376953125,-1.5389556884765625,-4.238128662109375,2.6190643310546875,1.6431336285913605,-0.4629248389870379
17,slate-BT,UU,polarized,2.628326416015625,-0.8141632080078125,-0.743865966796875,0.8719329833984375,1.6077620659198435,-0.404714366293255
18,slate-BT,UX,full,3.025054931640625,-1.0125274658203125,-4.352569580078125,2.6762847900390625,1.5380347495984823,-0.41837539949059893
19,slate-BT,UX,polarized,2.468109130859375,-0.7340545654296875,-1.728057861328125,1.3640289306640625,1.5325188819220357,-0.36888907059064746
20,slate-BT,XX-same,full,2.857208251953125,-0.9286041259765625,-4.444122314453125,2.7220611572265625,1.5216346263039213,-0.4097802761149234
21,slate-BT,XX-same,polarized,2.437591552734375,-0.7187957763671875,-1.804351806640625,1.4021759033203125,1.528021617650917,-0.36767747549212515
22,slate-BT,XX-dif,full,2.910614013671875,-0.9553070068359375,-4.123687744140625,2.5618438720703125,1.5384020376048417,-0.4150611011069472
23,slate-BT,XX-dif,polarized,2.452850341796875,-0.7264251708984375,-1.903533935546875,1.4517669677734375,1.5317574835375294,-0.3691565195465425
24,slate-PL,UU,full,5.039215087890625,-2.0196075439453125,1.323699951171875,-0.1618499755859375,1.9022968478772255,-0.4512060371073367
25,slate-PL,UU,polarized,3.269195556640625,-1.1345977783203125,1.216888427734375,-0.1084442138671875,1.732257114789843,-0.3667026314689955
26,slate-PL,UX,full,2.483367919921875,-0.7416839599609375,-2.269744873046875,1.6348724365234375,1.7103083986307819,-0.4238867096034564
27,slate-PL,UX,polarized,2.223968505859375,-0.6119842529296875,0.003814697265625,0.4980926513671875,1.6266116314388737,-0.3490835934972148
28,slate-PL,XX-same,full,2.094268798828125,-0.5471343994140625,-4.238128662109375,2.6190643310546875,1.5140766697490313,-0.34523586573871284
29,slate-PL,XX-same,polarized,2.086639404296875,-0.5433197021484375,0.003814697265625,0.4980926513671875,1.4645725296091274,-0.2716010796193786
30,slate-PL,XX-dif,full,2.170562744140625,-0.5852813720703125,-2.399444580078125,1.6997222900390625,1.5378485099203463,-0.3176320738902139
31,slate-PL,XX-dif,polarized,2.170562744140625,-0.5852813720703125,0.003814697265625,0.4980926513671875,1.4949480109487456,-0.2568073388077061
