,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
0,slate-CS-C,UU,full,3.704071044921875,-1.3520355224609375,-3.330230712890625,2.1651153564453125,1.0594114468189637,-0.06351905674281508
1,slate-CS-C,UU,polarized,3.704071044921875,-1.3520355224609375,-3.330230712890625,2.1651153564453125,1.0594114468189637,-0.06351905674281508
2,slate-CS-C,UX,full,3.704071044921875,-1.3520355224609375,-2.666473388671875,1.8332366943359375,0.9148553181036603,-0.025534325718496675
3,slate-CS-C,UX,polarized,3.704071044921875,-1.3520355224609375,-2.666473388671875,1.8332366943359375,0.9148553181036603,-0.025534325718496675
4,slate-CS-C,XXsame,full,2.285003662109375,-0.6425018310546875,-4.169464111328125,2.5847320556640625,0.8155185458118399,0.00806739376074674
5,slate-CS-C,XXsame,polarized,2.285003662109375,-0.6425018310546875,-4.169464111328125,2.5847320556640625,0.8155185458118399,0.00806739376074674
6,slate-CS-C,XXdif,full,2.780914306640625,-0.8904571533203125,-2.399444580078125,1.6997222900390625,0.8725580938344389,-0.0003457135838859889
7,slate-CS-C,XXdif,polarized,2.780914306640625,-0.8904571533203125,-2.399444580078125,1.6997222900390625,0.8725580938344389,-0.0003457135838859889
8,slate-CS-W,UU,full,3.704071044921875,-1.3520355224609375,0.522613525390625,0.2386932373046875,1.1228513878653894,-0.012412360599361284
9,slate-CS-W,UU,polarized,3.704071044921875,-1.3520355224609375,0.522613525390625,0.2386932373046875,1.1228513878653894,-0.012412360599361284
10,slate-CS-W,UX,full,4.169464111328125,-1.5847320556640625,0.408172607421875,0.2959136962890625,0.9414197985752888,0.033583434045689003
11,slate-CS-W,UX,polarized,4.169464111328125,-1.5847320556640625,0.408172607421875,0.2959136962890625,0.9414197985752888,0.033583434045689003
12,slate-CS-W,XXsame,full,3.704071044921875,-1.3520355224609375,-1.232147216796875,1.1160736083984375,0.848744780152297,0.07917427659051826
13,slate-CS-W,XXsame,polarized,3.704071044921875,-1.3520355224609375,-1.232147216796875,1.1160736083984375,0.848744780152297,0.07917427659051826
14,slate-CS-W,XXdif,full,4.169464111328125,-1.5847320556640625,0.446319580078125,0.2768402099609375,0.8977843281748954,0.08146783591255222
15,slate-CS-W,XXdif,polarized,4.169464111328125,-1.5847320556640625,0.446319580078125,0.2768402099609375,0.8977843281748954,0.08146783591255222
16,slate-BT,UU,full,3.704071044921875,-1.3520355224609375,0.743865966796875,0.1280670166015625,1.4195057725374607,-0.19571288626873007
17,slate-BT,UU,polarized,3.704071044921875,-1.3520355224609375,0.743865966796875,0.1280670166015625,1.4195057725374607,-0.19571288626873007
18,slate-BT,UX,full,3.704071044921875,-1.3520355224609375,-0.873565673828125,0.9367828369140625,1.3237435519528378,-0.18804510930975205
19,slate-BT,UX,polarized,3.704071044921875,-1.3520355224609375,-0.873565673828125,0.9367828369140625,1.3237435519528378,-0.18804510930975205
20,slate-BT,XXsame,full,4.169464111328125,-1.5847320556640625,-2.178192138671875,1.5890960693359375,1.1771712110046675,-0.11761227216900028
21,slate-BT,XXsame,polarized,4.169464111328125,-1.5847320556640625,-2.178192138671875,1.5890960693359375,1.1771712110046675,-0.11761227216900028
22,slate-BT,XXdif,full,3.704071044921875,-1.3520355224609375,0.484466552734375,0.2577667236328125,1.221913043478261,-0.12442318840579718
23,slate-BT,XXdif,polarized,3.704071044921875,-1.3520355224609375,0.484466552734375,0.2577667236328125,1.221913043478261,-0.12442318840579718
24,slate-PL,UU,full,4.169464111328125,-1.5847320556640625,0.873565673828125,0.0632171630859375,1.4975190370916243,-0.24239951854581182
25,slate-PL,UU,polarized,4.169464111328125,-1.5847320556640625,0.873565673828125,0.0632171630859375,1.4975190370916243,-0.24239951854581182
26,slate-PL,UX,full,4.169464111328125,-1.5847320556640625,0.720977783203125,0.1395111083984375,1.4316914762957509,-0.23040573814787507
27,slate-PL,UX,polarized,4.169464111328125,-1.5847320556640625,0.720977783203125,0.1395111083984375,1.4316914762957509,-0.23040573814787507
28,slate-PL,XXsame,full,3.704071044921875,-1.3520355224609375,-1.964569091796875,1.4822845458984375,1.391811348563007,-0.20777234094817001
29,slate-PL,XXsame,polarized,3.704071044921875,-1.3520355224609375,-1.964569091796875,1.4822845458984375,1.391811348563007,-0.20777234094817001
30,slate-PL,XXdif,full,3.704071044921875,-1.3520355224609375,0.720977783203125,0.1395111083984375,1.4212979611888974,-0.22026231392778187
31,slate-PL,XXdif,polarized,3.704071044921875,-1.3520355224609375,0.720977783203125,0.1395111083984375,1.4212979611888974,-0.22026231392778187
