,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
0,slate-CS-C,UU,full,2.002716064453125,-0.5013580322265625,-2.223968505859375,1.6119842529296875,0.8724869565217391,0.022724521739130456
1,slate-CS-C,UU,polarized,2.002716064453125,-0.5013580322265625,-2.223968505859375,1.6119842529296875,0.8724869565217391,0.022724521739130456
2,slate-CS-C,UX,full,2.002716064453125,-0.5013580322265625,-2.223968505859375,1.6119842529296875,0.724771702284451,0.06427014885777461
3,slate-CS-C,UX,polarized,2.002716064453125,-0.5013580322265625,-2.223968505859375,1.6119842529296875,0.724771702284451,0.06427014885777461
4,slate-CS-C,XXsame,full,1.667022705078125,-0.3335113525390625,-2.498626708984375,1.7493133544921875,0.6399528371407518,0.08471158142962426
5,slate-CS-C,XXsame,polarized,1.667022705078125,-0.3335113525390625,-2.498626708984375,1.7493133544921875,0.6399528371407518,0.08471158142962426
6,slate-CS-C,XXdif,full,1.735687255859375,-0.3678436279296875,-2.223968505859375,1.6119842529296875,0.6694815033161385,0.09158724834193088
7,slate-CS-C,XXdif,polarized,1.735687255859375,-0.3678436279296875,-2.223968505859375,1.6119842529296875,0.6694815033161385,0.09158724834193088
8,slate-CS-W,UU,full,2.765655517578125,-0.8828277587890625,0.476837158203125,0.2615814208984375,0.978081061164333,0.0580794694178335
9,slate-CS-W,UU,polarized,2.765655517578125,-0.8828277587890625,0.476837158203125,0.2615814208984375,0.978081061164333,0.0580794694178335
10,slate-CS-W,UX,full,2.498626708984375,-0.7493133544921875,-1.644134521484375,1.3220672607421875,0.7247021370670598,0.14300893146647023
11,slate-CS-W,UX,polarized,2.498626708984375,-0.7493133544921875,-1.644134521484375,1.3220672607421875,0.7247021370670598,0.14300893146647023
12,slate-CS-W,XXsame,full,2.498626708984375,-0.7493133544921875,-1.430511474609375,1.2152557373046875,0.6834440677966103,0.14772596610169497
13,slate-CS-W,XXsame,polarized,2.498626708984375,-0.7493133544921875,-1.430511474609375,1.2152557373046875,0.6834440677966103,0.14772596610169497
14,slate-CS-W,XXdif,full,2.727508544921875,-0.8637542724609375,0.316619873046875,0.3416900634765625,0.765223286661754,0.1307243566691231
15,slate-CS-W,XXdif,polarized,2.727508544921875,-0.8637542724609375,0.316619873046875,0.3416900634765625,0.765223286661754,0.1307243566691231
16,slate-BT,UU,full,2.399444580078125,-0.6997222900390625,0.553131103515625,0.2234344482421875,1.2560837140751664,-0.1312258570375829
17,slate-BT,UU,polarized,2.399444580078125,-0.6997222900390625,0.553131103515625,0.2234344482421875,1.2560837140751664,-0.1312258570375829
18,slate-BT,UX,full,2.002716064453125,-0.5013580322265625,-1.667022705078125,1.3335113525390625,1.0202198968312457,-0.037317948415622665
19,slate-BT,UX,polarized,2.002716064453125,-0.5013580322265625,-1.667022705078125,1.3335113525390625,1.0202198968312457,-0.037317948415622665
20,slate-BT,XXsame,full,1.720428466796875,-0.3602142333984375,-1.857757568359375,1.4288787841796875,1.0534355195283718,-0.06218975976418564
21,slate-BT,XXsame,polarized,1.720428466796875,-0.3602142333984375,-1.857757568359375,1.4288787841796875,1.0534355195283718,-0.06218975976418564
22,slate-BT,XXdif,full,2.353668212890625,-0.6768341064453125,-0.492095947265625,0.7460479736328125,1.0432495210022106,-0.04120076050110538
23,slate-BT,XXdif,polarized,2.353668212890625,-0.6768341064453125,-0.492095947265625,0.7460479736328125,1.0432495210022106,-0.04120076050110538
24,slate-PL,UU,full,2.857208251953125,-0.9286041259765625,0.766754150390625,0.1166229248046875,1.3869523949889466,-0.19166819749447306
25,slate-PL,UU,polarized,2.857208251953125,-0.9286041259765625,0.766754150390625,0.1166229248046875,1.3869523949889466,-0.19166819749447306
26,slate-PL,UX,full,2.498626708984375,-0.7493133544921875,0.202178955078125,0.3989105224609375,1.3252999263080327,-0.18608996315401627
27,slate-PL,UX,polarized,2.498626708984375,-0.7493133544921875,0.202178955078125,0.3989105224609375,1.3252999263080327,-0.18608996315401627
28,slate-PL,XXsame,full,2.193450927734375,-0.5967254638671875,-1.201629638671875,1.1008148193359375,1.2404857774502585,-0.14594688872512898
29,slate-PL,XXsame,polarized,2.193450927734375,-0.5967254638671875,-1.201629638671875,1.1008148193359375,1.2404857774502585,-0.14594688872512898
30,slate-PL,XXdif,full,2.498626708984375,-0.7493133544921875,0.446319580078125,0.2768402099609375,1.252180987472366,-0.13722649373618273
31,slate-PL,XXdif,polarized,2.498626708984375,-0.7493133544921875,0.446319580078125,0.2768402099609375,1.252180987472366,-0.13722649373618273
